"SUID","Cooccurrence","Coregulation","CoregulationBin","interaction","name","NetworkPresence","NewBin","NewBin2","selected","shared interaction","shared name"
"202553",,"0.65","33","(interacts)","N-C28:0(OH)-Cer ((interacts)) PC_aa_C38:2",,"1","1","false","(interacts)","N-C28:0(OH)-Cer ((interacts)) PC_aa_C38:2"
"204057",,"0.64","33","(interacts)","PE_aa_C28:4 ((interacts)) PC_aa_C40:4",,"1","1","false","(interacts)","PE_aa_C28:4 ((interacts)) PC_aa_C40:4"
"204252","0.8335613667966","0.64","33","(interacts)","PC_ae_C38:5 ((interacts)) PC_aa_C40:4",,"1","1","false","(interacts)","PC_ae_C38:5 ((interacts)) PC_aa_C40:4"
"196767",,"0.62","33","(interacts)","PE_aa_C48:1 ((interacts)) PC_aa_C40:4",,"1","1","false","(interacts)","PE_aa_C48:1 ((interacts)) PC_aa_C40:4"
"212479",,"0.61","33","(interacts)","PE_aa_C28:5 ((interacts)) PC_aa_C40:4",,"1","1","false","(interacts)","PE_aa_C28:5 ((interacts)) PC_aa_C40:4"
"211857","0.767898827791143","0.63","33","(interacts)","PC_ae_C36:5 ((interacts)) PC_aa_C38:6",,"1","1","false","(interacts)","PC_ae_C36:5 ((interacts)) PC_aa_C38:6"
"202764","0.8321672876675","0.62","33","(interacts)","SM_C16:0 ((interacts)) PC_aa_C38:4",,"1","1","false","(interacts)","SM_C16:0 ((interacts)) PC_aa_C38:4"
"190972",,"0.63","33","(interacts)","PC_ae_C32:0 ((interacts)) PC_aa_C40:4",,"1","1","false","(interacts)","PC_ae_C32:0 ((interacts)) PC_aa_C40:4"
"194738",,"0.61","33","(interacts)","SM_C24:3 ((interacts)) PC_aa_C38:6",,"1","1","false","(interacts)","SM_C24:3 ((interacts)) PC_aa_C38:6"
"198051",,"0.63","33","(interacts)","N-C8:1-Cer(2H) ((interacts)) PC_aa_C40:4",,"1","1","false","(interacts)","N-C8:1-Cer(2H) ((interacts)) PC_aa_C40:4"
"193812",,"0.61","33","(interacts)","N-C8:0(OH)-Cer ((interacts)) PC_aa_C40:4",,"1","1","false","(interacts)","N-C8:0(OH)-Cer ((interacts)) PC_aa_C40:4"
"204056",,"0.63","33","(interacts)","PE_aa_C28:4 ((interacts)) PC_aa_C40:5",,"1","1","false","(interacts)","PE_aa_C28:4 ((interacts)) PC_aa_C40:5"
"195376","0.448095063368667","0.63","33","(interacts)","PC_ae_C36:1 ((interacts)) PC_aa_C40:5",,"1","1","false","(interacts)","PC_ae_C36:1 ((interacts)) PC_aa_C40:5"
"203069",,"0.62","33","(interacts)","PG_ae_C34:0 ((interacts)) PC_aa_C40:4",,"1","1","false","(interacts)","PG_ae_C34:0 ((interacts)) PC_aa_C40:4"
