"SUID","canonicalName","interaction","interactionStrength","name","selected","shared interaction","shared name"
"369","PC_aa_C32:1 (interacts) PC_aa_C32:2","interacts","0.82","PC_aa_C32:1 (interacts) PC_aa_C32:2","false","interacts","PC_aa_C32:1 (interacts) PC_aa_C32:2"
"370","PC_aa_C32:1 (interacts) PC_aa_C34:1","interacts","0.99","PC_aa_C32:1 (interacts) PC_aa_C34:1","false","interacts","PC_aa_C32:1 (interacts) PC_aa_C34:1"
"371","PC_aa_C32:1 (interacts) PC_aa_C34:2","interacts","0.96","PC_aa_C32:1 (interacts) PC_aa_C34:2","false","interacts","PC_aa_C32:1 (interacts) PC_aa_C34:2"
"372","PC_aa_C32:1 (interacts) PC_aa_C34:3","interacts","0.93","PC_aa_C32:1 (interacts) PC_aa_C34:3","false","interacts","PC_aa_C32:1 (interacts) PC_aa_C34:3"
"373","PC_aa_C32:1 (interacts) PC_aa_C36:2","interacts","0.97","PC_aa_C32:1 (interacts) PC_aa_C36:2","false","interacts","PC_aa_C32:1 (interacts) PC_aa_C36:2"
"374","PC_aa_C32:1 (interacts) PC_aa_C36:3","interacts","0.73","PC_aa_C32:1 (interacts) PC_aa_C36:3","false","interacts","PC_aa_C32:1 (interacts) PC_aa_C36:3"
"375","PC_aa_C32:1 (interacts) PC_aa_C36:4","interacts","0.81","PC_aa_C32:1 (interacts) PC_aa_C36:4","false","interacts","PC_aa_C32:1 (interacts) PC_aa_C36:4"
"376","PC_aa_C32:1 (interacts) PC_aa_C36:5","interacts","0.72","PC_aa_C32:1 (interacts) PC_aa_C36:5","false","interacts","PC_aa_C32:1 (interacts) PC_aa_C36:5"
"377","PC_aa_C32:1 (interacts) PC_aa_C38:5","interacts","0.79","PC_aa_C32:1 (interacts) PC_aa_C38:5","false","interacts","PC_aa_C32:1 (interacts) PC_aa_C38:5"
"378","PC_aa_C32:1 (interacts) PC_ae_C34:1","interacts","0.88","PC_aa_C32:1 (interacts) PC_ae_C34:1","false","interacts","PC_aa_C32:1 (interacts) PC_ae_C34:1"
"379","PC_aa_C32:1 (interacts) PC_ae_C34:2","interacts","0.71","PC_aa_C32:1 (interacts) PC_ae_C34:2","false","interacts","PC_aa_C32:1 (interacts) PC_ae_C34:2"
"380","PC_aa_C32:1 (interacts) PC_ae_C36:2","interacts","0.92","PC_aa_C32:1 (interacts) PC_ae_C36:2","false","interacts","PC_aa_C32:1 (interacts) PC_ae_C36:2"
"381","PC_aa_C32:1 (interacts) SM_C16:0","interacts","0.83","PC_aa_C32:1 (interacts) SM_C16:0","false","interacts","PC_aa_C32:1 (interacts) SM_C16:0"
"382","PC_aa_C32:1 (interacts) SM_C24:3","interacts","0.76","PC_aa_C32:1 (interacts) SM_C24:3","false","interacts","PC_aa_C32:1 (interacts) SM_C24:3"
"383","PC_aa_C32:1 (interacts) SM_C26:4","interacts","0.75","PC_aa_C32:1 (interacts) SM_C26:4","false","interacts","PC_aa_C32:1 (interacts) SM_C26:4"
"384","PE_ae_C46:6 (interacts) PG_aa_C36:3","interacts","0.7","PE_ae_C46:6 (interacts) PG_aa_C36:3","false","interacts","PE_ae_C46:6 (interacts) PG_aa_C36:3"
"385","PE_ae_C46:6 (interacts) PS_aa_C42:2","interacts","0.79","PE_ae_C46:6 (interacts) PS_aa_C42:2","false","interacts","PE_ae_C46:6 (interacts) PS_aa_C42:2"
"386","PE_ae_C46:6 (interacts) PS_aa_C42:4","interacts","0.93","PE_ae_C46:6 (interacts) PS_aa_C42:4","false","interacts","PE_ae_C46:6 (interacts) PS_aa_C42:4"
"387","PE_ae_C46:6 (interacts) SM_C20:1","interacts","0.75","PE_ae_C46:6 (interacts) SM_C20:1","false","interacts","PE_ae_C46:6 (interacts) SM_C20:1"
"388","PE_ae_C46:6 (interacts) N-C10:0(OH)-Cer(2H)","interacts","0.81","PE_ae_C46:6 (interacts) N-C10:0(OH)-Cer(2H)","false","interacts","PE_ae_C46:6 (interacts) N-C10:0(OH)-Cer(2H)"
"389","PE_ae_C46:6 (interacts) N-C10:1-Cer","interacts","0.77","PE_ae_C46:6 (interacts) N-C10:1-Cer","false","interacts","PE_ae_C46:6 (interacts) N-C10:1-Cer"
"390","PE_ae_C46:6 (interacts) N-C12:1-Cer","interacts","0.78","PE_ae_C46:6 (interacts) N-C12:1-Cer","false","interacts","PE_ae_C46:6 (interacts) N-C12:1-Cer"
"391","PE_ae_C46:6 (interacts) N-C14:0-Cer","interacts","0.86","PE_ae_C46:6 (interacts) N-C14:0-Cer","false","interacts","PE_ae_C46:6 (interacts) N-C14:0-Cer"
"392","PE_ae_C46:6 (interacts) N-C18:0-Cer","interacts","0.75","PE_ae_C46:6 (interacts) N-C18:0-Cer","false","interacts","PE_ae_C46:6 (interacts) N-C18:0-Cer"
"393","PE_ae_C46:6 (interacts) N-C20:1-Cer(2H)","interacts","0.87","PE_ae_C46:6 (interacts) N-C20:1-Cer(2H)","false","interacts","PE_ae_C46:6 (interacts) N-C20:1-Cer(2H)"
"394","PE_ae_C46:6 (interacts) N-C22:0-Cer","interacts","0.74","PE_ae_C46:6 (interacts) N-C22:0-Cer","false","interacts","PE_ae_C46:6 (interacts) N-C22:0-Cer"
"395","PE_ae_C46:6 (interacts) N-C22:1-Cer","interacts","0.73","PE_ae_C46:6 (interacts) N-C22:1-Cer","false","interacts","PE_ae_C46:6 (interacts) N-C22:1-Cer"
"396","PE_ae_C46:6 (interacts) N-C24:0-Cer","interacts","0.84","PE_ae_C46:6 (interacts) N-C24:0-Cer","false","interacts","PE_ae_C46:6 (interacts) N-C24:0-Cer"
"397","PE_ae_C46:6 (interacts) N-C28:0-Cer","interacts","0.83","PE_ae_C46:6 (interacts) N-C28:0-Cer","false","interacts","PE_ae_C46:6 (interacts) N-C28:0-Cer"
"398","PE_ae_C40:6 (interacts) PS_aa_C36:0","interacts","0.76","PE_ae_C40:6 (interacts) PS_aa_C36:0","false","interacts","PE_ae_C40:6 (interacts) PS_aa_C36:0"
"399","PE_ae_C40:6 (interacts) PS_aa_C36:3","interacts","0.85","PE_ae_C40:6 (interacts) PS_aa_C36:3","false","interacts","PE_ae_C40:6 (interacts) PS_aa_C36:3"
"400","PE_ae_C40:6 (interacts) PS_aa_C36:4","interacts","0.77","PE_ae_C40:6 (interacts) PS_aa_C36:4","false","interacts","PE_ae_C40:6 (interacts) PS_aa_C36:4"
"401","PE_ae_C40:6 (interacts) PS_aa_C38:3","interacts","0.75","PE_ae_C40:6 (interacts) PS_aa_C38:3","false","interacts","PE_ae_C40:6 (interacts) PS_aa_C38:3"
"402","PE_ae_C40:6 (interacts) PS_aa_C38:4","interacts","0.9","PE_ae_C40:6 (interacts) PS_aa_C38:4","false","interacts","PE_ae_C40:6 (interacts) PS_aa_C38:4"
"403","PE_ae_C40:6 (interacts) PS_aa_C38:5","interacts","0.87","PE_ae_C40:6 (interacts) PS_aa_C38:5","false","interacts","PE_ae_C40:6 (interacts) PS_aa_C38:5"
"404","PE_ae_C40:6 (interacts) PS_aa_C40:4","interacts","0.88","PE_ae_C40:6 (interacts) PS_aa_C40:4","false","interacts","PE_ae_C40:6 (interacts) PS_aa_C40:4"
"405","PE_ae_C40:6 (interacts) PS_aa_C40:5","interacts","0.95","PE_ae_C40:6 (interacts) PS_aa_C40:5","false","interacts","PE_ae_C40:6 (interacts) PS_aa_C40:5"
"406","PE_ae_C40:6 (interacts) PS_aa_C40:6","interacts","0.91","PE_ae_C40:6 (interacts) PS_aa_C40:6","false","interacts","PE_ae_C40:6 (interacts) PS_aa_C40:6"
"407","PE_ae_C40:6 (interacts) PS_aa_C40:7","interacts","0.96","PE_ae_C40:6 (interacts) PS_aa_C40:7","false","interacts","PE_ae_C40:6 (interacts) PS_aa_C40:7"
"408","PE_ae_C40:6 (interacts) PS_ae_C34:2","interacts","0.72","PE_ae_C40:6 (interacts) PS_ae_C34:2","false","interacts","PE_ae_C40:6 (interacts) PS_ae_C34:2"
"409","PE_ae_C40:6 (interacts) PS_ae_C36:1","interacts","0.9","PE_ae_C40:6 (interacts) PS_ae_C36:1","false","interacts","PE_ae_C40:6 (interacts) PS_ae_C36:1"
"410","PE_ae_C40:6 (interacts) PS_ae_C36:2","interacts","0.73","PE_ae_C40:6 (interacts) PS_ae_C36:2","false","interacts","PE_ae_C40:6 (interacts) PS_ae_C36:2"
"411","PE_ae_C40:6 (interacts) PS_ae_C38:4","interacts","0.92","PE_ae_C40:6 (interacts) PS_ae_C38:4","false","interacts","PE_ae_C40:6 (interacts) PS_ae_C38:4"
"412","PE_ae_C46:5 (interacts) PE_ae_C46:6","interacts","0.99","PE_ae_C46:5 (interacts) PE_ae_C46:6","false","interacts","PE_ae_C46:5 (interacts) PE_ae_C46:6"
