"SUID","canonicalName","Cooccurrence","Coregulation","CoregulationBin","interaction","interactionStrength","name","NetworkPresence","NewBin","NewBin2","selected","shared interaction","shared name"
"199896","","0.847717165946667","0.6","","(interacts)",,"SM_C16:0 ((interacts)) LPC_a_C18:0",,"","","false","(interacts)","SM_C16:0 ((interacts)) LPC_a_C18:0"
"199897","","0.743556646364048","0.75","","(interacts)",,"SM_C16:0 ((interacts)) PC_aa_C36:5",,"","","false","(interacts)","SM_C16:0 ((interacts)) PC_aa_C36:5"
"199898","","0.699816598611706","0.67","","(interacts)",,"SM_C16:0 ((interacts)) PC_ae_C34:3",,"","","false","(interacts)","SM_C16:0 ((interacts)) PC_ae_C34:3"
"199899","","0.756998028074","0.73","","(interacts)",,"SM_C16:0 ((interacts)) PC_ae_C36:2",,"","","false","(interacts)","SM_C16:0 ((interacts)) PC_ae_C36:2"
"199900","","0.805875326196417","0.75","","(interacts)",,"SM_C16:0 ((interacts)) PC_aa_C38:5",,"","","false","(interacts)","SM_C16:0 ((interacts)) PC_aa_C38:5"
"199901","","0.8168478012085","0.69","","(interacts)",,"SM_C16:0 ((interacts)) LPC_a_C18:1",,"","","false","(interacts)","SM_C16:0 ((interacts)) LPC_a_C18:1"
"199902","","0.787435501813818","0.68","","(interacts)",,"SM_C16:0 ((interacts)) PC_ae_C34:2",,"","","false","(interacts)","SM_C16:0 ((interacts)) PC_ae_C34:2"
"199903","","0.788195855087889","0.69","","(interacts)",,"SM_C16:0 ((interacts)) PC_ae_C32:1",,"","","false","(interacts)","SM_C16:0 ((interacts)) PC_ae_C32:1"
"199904","","0.795657437472048","0.67","","(interacts)",,"N-C16:1-Cer(2H) ((interacts)) N-C16:0-Cer(2H)",,"","","false","(interacts)","N-C16:1-Cer(2H) ((interacts)) N-C16:0-Cer(2H)"
"199905","","0.0832336246967","0.6","","(interacts)",,"N-C16:1-Cer(2H) ((interacts)) LPE_a_C22:4",,"","","false","(interacts)","N-C16:1-Cer(2H) ((interacts)) LPE_a_C22:4"
"199906","","0.13707318902","0.74","","(interacts)",,"PS_aa_C36:0 ((interacts)) PE_ae_C38:4",,"","","false","(interacts)","PS_aa_C36:0 ((interacts)) PE_ae_C38:4"
"199907","","0.104640349746","0.72","","(interacts)",,"PS_aa_C36:0 ((interacts)) PE_aa_C40:7",,"","","false","(interacts)","PS_aa_C36:0 ((interacts)) PE_aa_C40:7"
"199908","","0.10359309613725","0.68","","(interacts)",,"PS_aa_C36:0 ((interacts)) PE_ae_C34:1",,"","","false","(interacts)","PS_aa_C36:0 ((interacts)) PE_ae_C34:1"
"199909","",,"0.7","","(interacts)",,"PS_aa_C36:0 ((interacts)) PE_aa_C38:7",,"","","false","(interacts)","PS_aa_C36:0 ((interacts)) PE_aa_C38:7"
"199910","","0.06806723214695","0.66","","(interacts)",,"PS_aa_C36:0 ((interacts)) PE_ae_C38:3",,"","","false","(interacts)","PS_aa_C36:0 ((interacts)) PE_ae_C38:3"
"199911","","0.0617751032115","0.7","","(interacts)",,"PS_aa_C36:0 ((interacts)) PE_ae_C38:2",,"","","false","(interacts)","PS_aa_C36:0 ((interacts)) PE_ae_C38:2"
"199912","","0.1209445111452","0.76","","(interacts)",,"PS_aa_C36:0 ((interacts)) PE_ae_C40:6",,"","","false","(interacts)","PS_aa_C36:0 ((interacts)) PE_ae_C40:6"
"199913","","0.12969535961735","0.77","","(interacts)",,"PS_aa_C36:0 ((interacts)) PE_ae_C40:5",,"","","false","(interacts)","PS_aa_C36:0 ((interacts)) PE_ae_C40:5"
"199914","","0.186023592949","0.64","","(interacts)",,"PS_aa_C36:0 ((interacts)) PE_aa_C36:4",,"","","false","(interacts)","PS_aa_C36:0 ((interacts)) PE_aa_C36:4"
"199915","","0.215569756925","0.65","","(interacts)",,"PS_aa_C36:0 ((interacts)) PE_aa_C34:0",,"","","false","(interacts)","PS_aa_C36:0 ((interacts)) PE_aa_C34:0"
"199916","",,"0.64","","(interacts)",,"PS_aa_C36:0 ((interacts)) PE_aa_C38:0",,"","","false","(interacts)","PS_aa_C36:0 ((interacts)) PE_aa_C38:0"
"199917","","0.137732744217","0.65","","(interacts)",,"PS_aa_C36:0 ((interacts)) PE_aa_C38:1",,"","","false","(interacts)","PS_aa_C36:0 ((interacts)) PE_aa_C38:1"
"199918","","0.115237016231","0.6","","(interacts)",,"PS_aa_C36:0 ((interacts)) PE_ae_C38:5",,"","","false","(interacts)","PS_aa_C36:0 ((interacts)) PE_ae_C38:5"
"199919","",,"0.63","","(interacts)",,"PS_aa_C36:0 ((interacts)) PE_ae_C40:3",,"","","false","(interacts)","PS_aa_C36:0 ((interacts)) PE_ae_C40:3"
"199920","",,"0.65","","(interacts)",,"PS_aa_C36:0 ((interacts)) PE_ae_C40:2",,"","","false","(interacts)","PS_aa_C36:0 ((interacts)) PE_ae_C40:2"
