"SUID","FromHit","FromHit2","FromLipid","FromLipidChemicalFormula","FromLipidChemicalFormulaMatch","name","selected","shared name","ToHit","ToHit2","ToLipid","ToLipidChemicalFormula","ToLipidChemicalFormulaMatch"
"184637","false","false","PE aa C28:5","C33H56NO8P","character(0)","PE_aa_C28:5","false","PE_aa_C28:5","false","false","PE aa C28:5","C33H56NO8P","character(0)"
"184638","false","false","PC ae C34:0","C42H86NO7P","character(0)","PC_ae_C34:0","false","PC_ae_C34:0","false","false","PC ae C34:0","C42H86NO7P","character(0)"
"184639","true","true","PS aa C34:2","C40H74NO10P","C40H74NO10P","PS_aa_C34:2","false","PS_aa_C34:2","false","false","PS aa C34:2","C40H74NO10P","character(0)"
"184640","true","true","PC aa C38:6","C46H80NO8P","C46H80NO8P","PC_aa_C38:6","false","PC_aa_C38:6","true","true","PC aa C38:6","C46H80NO8P","C46H80NO8P"
"184641","true","true","PE aa C38:2","C43H82NO8P","C43H82NO8P","PE_aa_C38:2","false","PE_aa_C38:2","true","true","PE aa C38:2","C43H82NO8P","C43H82NO8P"
"184642","false","false","PS ae C36:1","C42H82NO9P","character(0)","PS_ae_C36:1","false","PS_ae_C36:1","false","false","PS ae C36:1","C42H82NO9P","character(0)"
"184643","true","true","PS aa C38:5","C44H76NO10P","C44H76NO10P","PS_aa_C38:5","false","PS_aa_C38:5","false","false","PS aa C38:5","C44H76NO10P","character(0)"
"184644","true","true","PC aa C38:3","C46H86NO8P","C46H86NO8P","PC_aa_C38:3","false","PC_aa_C38:3","true","true","PC aa C38:3","C46H86NO8P","C46H86NO8P"
"184645","true","true","PS aa C36:3","C42H76NO10P","C42H76NO10P","PS_aa_C36:3","false","PS_aa_C36:3","false","false","PS aa C36:3","C42H76NO10P","character(0)"
"184646","true","true","PC aa C36:2","C44H84NO8P","C44H84NO8P","PC_aa_C36:2","false","PC_aa_C36:2","true","true","PC aa C36:2","C44H84NO8P","C44H84NO8P"
"184647","true","true","PC aa C34:2","C42H80NO8P","C42H80NO8P","PC_aa_C34:2","false","PC_aa_C34:2","true","true","PC aa C34:2","C42H80NO8P","C42H80NO8P"
"184648","false","false","PE aa C26:4","C31H54NO8P","character(0)","PE_aa_C26:4","false","PE_aa_C26:4","false","false","PE aa C26:4","C31H54NO8P","character(0)"
"184649","true","true","PC aa C34:1","C42H82NO8P","C42H82NO8P","PC_aa_C34:1","false","PC_aa_C34:1","true","true","PC aa C34:1","C42H82NO8P","C42H82NO8P"
"184650","true","true","PC aa C32:1","C40H78NO8P","C40H78NO8P","PC_aa_C32:1","false","PC_aa_C32:1","true","true","PC aa C32:1","C40H78NO8P","C40H78NO8P"
"184651","true","true","N-C24:0-Cer","C42H83NO3","C42H83NO3","N-C24:0-Cer","false","N-C24:0-Cer","true","true","N-C24:0-Cer","C42H83NO3","C42H83NO3"
"184652","false","false","PS aa C42:4","C48H86NO10P","character(0)","PS_aa_C42:4","false","PS_aa_C42:4","false","false","PS aa C42:4","C48H86NO10P","character(0)"
"184653","false","false","PE ae C46:5","C51H94NO7P","character(0)","PE_ae_C46:5","false","PE_ae_C46:5","false","false","PE ae C46:5","C51H94NO7P","character(0)"
"184654","false","false","PE ae C42:1","C47H94NO7P","character(0)","PE_ae_C42:1","false","PE_ae_C42:1","false","false","PE ae C42:1","C47H94NO7P","character(0)"
"184655","true","true","PE ae C40:4","C45H84NO7P","C45H84NO7P","PE_ae_C40:4","false","PE_ae_C40:4","false","false","PE ae C40:4","C45H84NO7P","character(0)"
"184656","true","true","PE ae C40:3","C45H86NO7P","C45H86NO7P","PE_ae_C40:3","false","PE_ae_C40:3","false","false","PE ae C40:3","C45H86NO7P","character(0)"
"184657","true","true","LPC a C18:1","C26H52NO7P","C26H52NO7P","LPC_a_C18:1","false","LPC_a_C18:1","true","true","LPC a C18:1","C26H52NO7P","C26H52NO7P"
"184658","false","false","PE aa C40:2","C45H86NO8P","character(0)","PE_aa_C40:2","false","PE_aa_C40:2","true","true","PE aa C40:2","C45H86NO8P","C45H86NO8P"
